!CSV A.01.01
!Keysight Technologies,N5247A,US56070710,A.10.64.09
!Date: Sunday, November 20, 2022 00:10:59
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
3000000000,-11.639004,177.68994,-62.322708,79.14859,-62.145687,79.042503,-18.655426,-164.08961
3005000000,-11.732398,60.141476,-63.642769,47.760021,-64.950478,46.564724,-17.22427,-157.55325
3010000000,-10.672614,106.05746,-62.453434,55.592274,-62.347454,55.63158,-15.473053,-169.09106
3015000000,-10.562769,163.12154,-64.269363,34.479942,-64.362831,30.670269,-16.25511,-156.93439
3020000000,-11.183026,32.494358,-69.908257,9.5616436,-70.635223,5.5042391,-16.056305,-178.14227
3025000000,-6.6253018,129.72522,-60.272373,-31.119162,-60.79565,-31.923809,-14.862972,-161.30067
3030000000,-25.57725,59.185207,-59.595924,-81.907425,-59.373596,-80.796944,-18.60354,173.52966
3035000000,-9.6897812,57.022736,-63.621273,-115.82083,-63.406345,-116.55895,-13.869891,-173.97881
3040000000,-6.7483306,137.26968,-64.922676,-112.04981,-64.95153,-116.67561,-18.859205,173.38666
3045000000,-19.036057,-22.083569,-73.280914,134.47444,-72.715218,136.78397,-15.514179,170.5778
3050000000,-7.4946527,84.300735,-66.16526,163.65926,-66.498474,165.07787,-14.279654,167.09508
3055000000,-8.4196024,125.84711,-65.702019,87.837646,-65.065918,85.919174,-16.516596,-177.11681
3060000000,-11.077842,-4.7514958,-69.971107,40.8097,-69.491386,32.376354,-14.546551,156.05608
3065000000,-5.1588945,105.26176,-80.716316,4.6410041,-76.425407,15.356399,-15.798485,-174.32086
3070000000,-21.640762,173.63272,-70.323219,47.620762,-73.433922,52.613953,-16.934942,149.04771
3075000000,-9.1200848,58.905151,-62.028435,78.94529,-62.754284,80.032761,-15.900349,163.21201
3080000000,-4.7934766,99.962975,-62.372036,10.211653,-62.208805,12.071043,-16.807899,154.32011
3085000000,-15.045152,-100.12325,-70.33651,-18.164734,-70.566757,-8.4987612,-16.908953,148.45882
3090000000,-4.5565968,70.141411,-63.591816,-18.931923,-63.195137,-18.777164,-13.704319,148.77591
3095000000,-13.227479,140.26421,-60.829708,-62.589252,-60.566154,-61.468212,-18.451214,168.63493
3100000000,-14.369822,75.93782,-58.556007,-92.240456,-58.861671,-92.741547,-14.310491,137.16853
3105000000,-5.4160442,63.961334,-62.228271,-143.43596,-61.570385,-144.56172,-16.743576,171.39374
3110000000,-9.1322174,146.90414,-68.899117,152.90146,-69.016212,157.63713,-17.342176,128.09843
3115000000,-7.8454189,15.705135,-65.683136,-127.62005,-65.615486,-129.10461,-16.931839,152.05118
3120000000,-6.1563892,97.22818,-69.404388,176.88528,-69.243156,175.71233,-16.909302,130.98355
3125000000,-15.667167,151.67552,-73.844643,117.68749,-73.982246,110.38419,-17.533476,142.83629
3130000000,-5.1962824,37.495182,-79.914337,30.845778,-81.802322,19.000643,-15.278132,128.15833
3135000000,-7.4044452,107.13525,-65.031403,-169.04233,-64.203346,-172.09445,-17.991648,160.49783
3140000000,-16.662241,39.183609,-59.228203,150.21954,-59.594986,150.78302,-15.796777,117.83574
3145000000,-7.1410279,36.381523,-58.690353,76.800011,-59.142567,75.983139,-17.038147,152.95284
3150000000,-5.496119,123.12689,-63.088852,43.698021,-63.167599,43.90736,-18.675852,134.54202
3155000000,-8.1775999,14.095222,-65.038742,-60.006531,-65.255653,-52.126053,-18.906233,121.94644
3160000000,-6.4459128,72.924065,-66.493675,-9.517664,-66.452957,-10.846277,-16.396202,138.28473
3165000000,-12.544438,83.294807,-64.678352,-21.778584,-65.302284,-25.378551,-19.389507,110.71661
3170000000,-12.657083,16.598124,-62.566914,-134.69571,-63.115944,-136.49356,-15.050617,134.54892
