!CSV A.01.01
!Keysight Technologies,N5247A,US56070710,A.10.64.09
!Date: Sunday, November 20, 2022 22:26:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
3000000000,-16.396938,-138.78105,-52.006042,-12.267111,-52.006756,-21.336666,-18.787512,-167.73434
3005000000,-7.0371852,132.67665,-50.02224,-8.0440311,-50.314903,-2.5718074,-17.915581,173.39687
3010000000,-23.903307,-7.0060182,-46.795242,-8.9119511,-46.525249,-7.5667911,-17.572565,175.62415
3015000000,-8.8019857,161.63538,-45.813622,-37.812672,-45.728245,-36.025753,-16.097878,173.00676
3020000000,-13.131625,107.1016,-46.140102,-68.140778,-45.438278,-64.039459,-18.045151,164.91173
3025000000,-17.163574,-169.4563,-46.938862,-82.974831,-46.697422,-83.763763,-16.342176,169.22032
3030000000,-8.3051481,118.90342,-46.726486,-104.32356,-47.516804,-104.25008,-16.192307,162.29735
3035000000,-26.087341,-86.726166,-49.300556,-122.86195,-48.109581,-119.5669,-17.930548,165.69615
3040000000,-6.6666455,146.63591,-57.34742,-125.75518,-57.21312,-131.88019,-15.200849,154.99821
3045000000,-12.908411,79.185539,-51.513519,-98.036995,-51.317417,-94.945175,-17.603472,142.81497
3050000000,-11.408555,-157.45177,-48.93568,-122.90328,-47.997303,-116.83228,-13.932985,151.35504
3055000000,-5.9442163,99.188766,-47.959827,-157.35634,-47.647667,-152.05655,-16.620079,137.93156
3060000000,-15.890982,-113.77493,-47.248619,-164.90523,-47.636707,-166.63892,-15.03694,158.21216
3065000000,-6.2494612,127.89879,-48.975525,171.18896,-49.245205,172.5766,-15.957165,136.02203
3070000000,-14.641336,54.549839,-49.521648,143.65302,-49.326756,142.90407,-16.200891,151.28931
3075000000,-8.3249359,163.9516,-50.740761,113.31522,-50.659077,108.40712,-15.266843,132.44252
3080000000,-7.7525301,78.636421,-63.834404,134.72859,-57.513664,121.79125,-16.227966,131.3781
3085000000,-11.195283,-163.79204,-51.505829,162.13234,-51.570641,164.21121,-15.372182,135.51326
3090000000,-6.31109,106.2885,-50.935726,143.23257,-50.560608,145.40259,-15.844585,119.43455
3095000000,-22.154514,20.109549,-51.547401,105.31387,-50.841145,105.05024,-15.416056,139.29451
3100000000,-5.9719,140.68666,-49.828644,85.916023,-49.367401,83.363884,-14.518177,124.72333
3105000000,-10.764101,60.111137,-49.803612,67.931946,-49.667351,63.964764,-17.401318,133.74724
3110000000,-10.548565,155.45164,-50.68837,26.155243,-50.2047,29.490288,-14.286885,120.05507
3115000000,-8.2988253,99.611435,-55.29158,-26.567627,-54.421349,-30.694067,-17.901485,120.19202
3120000000,-22.052595,60.960094,-72.216896,26.242569,-77.957993,-59.596603,-15.272367,114.35107
3125000000,-5.5888572,129.40118,-52.859947,73.082672,-54.050144,61.224129,-15.61078,118.24202
3130000000,-10.458755,46.350918,-52.580853,33.602428,-51.967888,19.529964,-17.094278,121.03645
3135000000,-9.9395294,149.60962,-51.807747,21.786852,-50.975723,23.140394,-13.99909,112.99071
3140000000,-5.688992,87.883675,-51.599247,11.570064,-51.279457,6.91959,-17.577337,118.88538
3145000000,-18.455303,-111.42205,-49.998737,-39.407524,-49.535717,-38.471424,-14.545865,112.88296
3150000000,-3.7409554,104.06528,-51.517822,-80.628311,-49.929592,-81.010773,-17.572756,114.51385
3155000000,-14.622411,23.754896,-62.022007,-138.1909,-61.379852,-121.22099,-16.99474,116.76688
3160000000,-8.1652365,137.02435,-55.303757,-1.1129535,-57.080246,6.3157048,-16.447655,99.761307
3165000000,-5.7614646,65.444939,-52.164299,-43.125282,-53.599266,-34.820587,-15.664037,113.7767
3170000000,-11.665606,174.34239,-51.68367,-73.782089,-53.300224,-73.688499,-15.335906,110.52741
3175000000,-6.2233291,75.94944,-51.234982,-77.669479,-51.326122,-78.489235,-16.983946,101.66871
3180000000,-19.703093,75.967384,-51.002316,-94.713882,-52.337589,-95.008522,-14.655041,122.57765
3185000000,-6.4068861,107.50394,-51.119366,-148.59354,-51.801765,-142.69679,-19.600229,100.44315
3190000000,-8.2988586,37.403225,-55.898075,179.53433,-56.917217,-167.03316,-16.108843,123.68678
3195000000,-8.4633512,144.41893,-79.102104,-42.027531,-71.183266,-81.047775,-18.691389,91.391792
3200000000,-5.734045,65.345055,-64.081039,-179.72253,-59.538414,-118.03411,-16.466793,108.74609
3205000000,-17.822245,81.146286,-53.510666,-143.88351,-53.909843,-136.92055,-15.809334,94.48951
3210000000,-6.7483315,104.35753,-54.033947,-164.67834,-54.81628,-169.41306,-17.962046,103.3147
3215000000,-9.3853359,27.055441,-56.087013,-177.1268,-55.639835,177.58029,-14.995341,100.72262
3220000000,-7.2900128,114.04681,-53.600616,133.08311,-53.330406,151.61876,-16.480967,107.43826
3225000000,-7.9893627,51.873772,-55.079369,104.66582,-53.971352,108.12654,-16.27128,116.88272
3230000000,-23.096689,70.494949,-54.757973,80.496857,-55.452553,90.643982,-16.677454,94.538681
3235000000,-3.3875215,87.427628,-64.82045,175.09442,-72.323067,115.87905,-16.488632,113.56581
3240000000,-9.1611958,-12.235819,-60.418457,136.33517,-57.39196,138.69263,-16.451998,93.895538
3245000000,-5.3022609,112.58421,-56.34127,135.62187,-55.829269,103.58421,-16.977518,105.36854
3250000000,-5.7856088,38.256706,-55.662945,109.95591,-57.82872,103.53748,-16.120081,102.03196
3255000000,-16.017519,157.65884,-55.153881,83.165993,-53.300865,69.185684,-15.703161,92.770683
3260000000,-3.3114161,57.947853,-54.173531,67.856247,-53.505363,58.617653,-14.818956,111.99446
3265000000,-18.335068,-77.2229,-58.60564,28.537279,-57.62146,18.328615,-15.519236,97.421959
3270000000,-4.0541992,81.121513,-58.610218,4.3181448,-58.303024,-5.8697429,-17.6075,107.70597
3275000000,-7.5157008,17.266275,-62.013664,44.398365,-60.45742,46.015083,-14.252113,93.086426
3280000000,-9.3669968,133.86311,-62.227139,63.164764,-60.328377,28.137079,-18.589497,104.24737
3285000000,-4.2322631,39.180275,-51.745808,10.253309,-52.383587,11.167065,-13.489677,95.032509
3290000000,-25.515278,144.041,-53.928223,11.707999,-53.385269,0.99716419,-16.748386,96.102654
3295000000,-5.8231664,63.282032,-54.856445,-45.532139,-53.359539,-29.008179,-14.278128,96.302589
3300000000,-7.5346074,12.625243,-54.569954,-33.321083,-55.938778,-33.272518,-14.037265,91.318169
3305000000,-8.565793,117.215,-58.024899,-72.655151,-57.580658,-70.156219,-16.170153,110.31712
3310000000,-4.7479081,24.713461,-56.720734,-85.187157,-58.560513,-65.664368,-14.515722,88.725021
3315000000,-16.348469,98.054703,-67.519279,-61.09988,-63.292866,-104.80863,-16.876265,97.555054
3320000000,-5.4475942,61.198727,-57.083763,-76.984558,-57.865299,-51.18816,-14.167291,91.689133
3325000000,-7.6765575,-25.425262,-52.90601,-84.684311,-54.073273,-69.162796,-15.453728,72.692184
3330000000,-5.4042454,97.355293,-52.558338,-106.55701,-52.082169,-120.97754,-13.002192,98.060692
3335000000,-4.4155688,0.95551479,-54.078541,-125.48776,-55.930374,-139.53894,-15.836581,74.9534
3340000000,-14.267978,115.89404,-55.43985,-132.8062,-53.462326,-136.49438,-13.560076,91.190887
3345000000,-3.5366356,42.968735,-55.124939,-156.99455,-54.505787,-151.69867,-15.604659,92.078262
3350000000,-10.024873,-61.235889,-56.058167,-176.48906,-56.018612,161.55049,-15.729227,71.99572
3355000000,-3.7848854,65.727516,-70.437813,-49.358147,-71.47068,-150.47868,-13.706833,90.920647
3360000000,-9.7122498,-25.384399,-54.577496,-136.45244,-53.96925,-134.79926,-16.851999,58.072578
3365000000,-9.8293457,62.107445,-50.882107,-179.07947,-50.5224,178.44612,-13.632497,74.708054
3370000000,-4.1282887,22.388504,-54.31612,124.10278,-54.916222,128.4471,-13.456403,72.741562
3375000000,-23.012262,-143.06543,-57.236443,137.78018,-59.812153,144.3277,-16.457645,83.60173
3380000000,-5.0035768,37.157669,-54.137753,141.89478,-53.323448,132.67171,-13.228968,70.653114
3385000000,-11.834479,-4.3027396,-51.060631,94.132904,-52.40937,91.977905,-17.200317,82.313881
3390000000,-11.798769,62.309986,-55.659412,19.800091,-56.974899,10.390263,-14.273209,59.33794
3395000000,-4.3367863,11.704071,-60.164669,-150.52754,-60.46825,176.80829,-14.306699,69.619514
3400000000,-22.982208,173.5087,-50.537827,122.09395,-51.209919,106.64365,-18.187239,71.312111
3405000000,-5.3705897,22.901924,-49.259342,56.240791,-50.332764,51.48122,-13.480624,51.21019
3410000000,-10.191828,-11.404221,-60.706917,36.315731,-58.499382,46.447559,-15.853847,73.616508
3415000000,-9.1869993,63.140297,-56.885849,81.794685,-57.242825,80.364212,-14.70978,62.708405
3420000000,-4.2873774,-16.979065,-48.258701,33.017445,-49.171959,39.776905,-15.964474,56.347702
3425000000,-9.8747473,101.65977,-51.619766,-37.000957,-50.737511,-29.688641,-15.336296,77.217499
3430000000,-4.4119973,3.0411747,-60.082539,-135.25471,-57.138252,-154.11238,-17.478489,35.727531
3435000000,-13.551624,-68.349724,-51.178524,56.724361,-50.923172,63.784775,-16.180412,71.478828
3440000000,-4.4290009,47.775631,-50.951057,-6.2525377,-50.06646,-1.1565675,-17.043709,41.138821
3445000000,-5.9848218,-53.201111,-52.70652,-64.247826,-54.493019,-66.653503,-16.924049,52.127342
3450000000,-6.5119624,58.64695,-63.063469,4.5547595,-68.665894,92.5037,-14.105374,59.502327
3455000000,-6.5732703,-13.081305,-50.065468,-30.434374,-50.791599,-24.583822,-21.619362,49.707886
3460000000,-22.888618,-104.50266,-48.60479,-91.744133,-48.780724,-94.94397,-14.20833,55.547115
3465000000,-3.7191534,23.766254,-53.21534,-155.1658,-53.621426,-145.62535,-20.672907,66.498138
3470000000,-10.188877,-84.003487,-58.113331,7.2891531,-60.066246,27.345875,-19.073902,55.896225
3475000000,-6.6708207,34.510906,-50.788216,-71.834312,-50.351749,-68.421967,-17.581177,51.998558
3480000000,-5.8649759,-17.101189,-50.100197,-137.89496,-50.743599,-131.31369,-22.03685,56.696194
3485000000,-26.46839,-146.1039,-58.137386,147.48198,-60.744621,162.91148,-16.240786,40.093182
3490000000,-4.3496542,15.466743,-59.076553,-75.731049,-55.523594,-92.939873,-19.186625,58.593426
3495000000,-14.270488,-65.653725,-48.150517,-137.01393,-50.481018,-136.63972,-18.851749,56.610699
3500000000,-9.1032705,25.773445,-49.489666,159.78401,-50.356201,152.17709,-17.723246,46.762608
3505000000,-5.2908368,-25.827393,-55.584419,53.841305,-55.51273,66.88945,-18.307108,89.622742
3510000000,-12.586473,125.90923,-57.223564,-107.40192,-56.578285,-101.92188,-20.086189,48.592705
3515000000,-2.5490041,-11.36642,-48.61623,172.58743,-49.731728,168.28479,-22.841099,61.444908
3520000000,-16.219145,-147.33194,-51.287964,112.3571,-50.301277,112.47811,-18.238871,55.41679
3525000000,-6.2126675,22.069021,-62.280624,-2.8559966,-65.558029,-0.35297555,-21.823315,36.044533
3530000000,-4.7137165,-61.85537,-52.585331,175.27429,-51.57568,177.56941,-15.876988,70.625809
3535000000,-7.0058331,64.834068,-47.895985,98.518494,-47.818356,94.960358,-21.985083,62.465446
3540000000,-4.8710299,-48.854897,-47.874863,32.088387,-49.677315,38.082722,-18.249443,78.134056
3545000000,-15.398766,49.287567,-56.980743,-55.720596,-58.532265,-58.170242,-18.0644,63.664616
3550000000,-6.0982642,-0.87682611,-51.816055,132.46729,-51.793343,116.02001,-23.452101,97.165039
3555000000,-10.712947,-102.20351,-48.372066,54.593868,-48.320095,56.589195,-18.270084,57.194355
3560000000,-5.9923983,21.173763,-53.654346,-7.447576,-52.400146,-10.303823,-22.722324,67.837662
3565000000,-9.581665,-67.632133,-58.16811,176.73988,-61.252285,168.31725,-19.319269,77.897118
