!CSV A.01.01
!Keysight Technologies,N5247A,US56070710,A.10.64.09
!Date: Friday, November 18, 2022 23:05:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
3000000000,-4.8557611,-118.05035,-69.762917,66.969032,-69.681572,64.583702,-10.297293,-144.20955
3005000000,-6.5213861,-96.590088,-76.268021,179.424,-74.242668,-178.63362,-17.275543,-105.93392
3010000000,-4.6653223,-121.47769,-84.782524,17.210382,-82.369156,3.026458,-15.762741,158.53976
3015000000,-7.3267732,-105.95464,-70.24823,97.59034,-70.23819,94.422134,-9.4127493,-142.10866
3020000000,-4.8099179,-102.74226,-80.410606,-13.588637,-78.051216,-22.787987,-29.353222,-53.444576
3025000000,-6.6306782,-120.78119,-74.567497,-75.345169,-77.33374,-77.75164,-10.551132,-178.1653
3030000000,-4.8090191,-99.562263,-78.707527,103.57816,-77.361786,94.390091,-12.667315,-134.58293
3035000000,-5.3437347,-121.75382,-77.110138,-78.970139,-75.255325,-82.780525,-24.924131,174.7433
3040000000,-7.3269329,-114.06293,-87.33419,-78.509232,-81.220192,-81.50721,-9.5153074,177.04742
3045000000,-5.0387964,-104.98889,-73.501701,-122.85705,-73.993828,-126.32288,-15.84755,-111.89635
3050000000,-6.8982124,-119.32015,-87.136024,0.50826406,-84.970154,-68.148239,-13.37149,147.35905
3055000000,-4.7626648,-106.67857,-74.30806,-88.777115,-74.090935,-89.348953,-11.273541,-167.24194
3060000000,-5.6638675,-123.35403,-73.43174,-174.33299,-72.322433,-177.57651,-18.296127,-132.82127
3065000000,-8.0799685,-114.28251,-76.988548,104.0549,-75.196991,94.360909,-11.599966,144.20889
3070000000,-4.252984,-113.31849,-77.756958,89.922638,-77.900116,88.01339,-11.378555,-147.8354
3075000000,-8.5926819,-122.79586,-85.161751,-175.15718,-79.075806,-177.21344,-20.789747,129.20959
