!CSV A.01.01
!Keysight Technologies,N5247A,US56070710,A.10.64.09
!Date: Thursday, November 10, 2022 00:17:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
3000000000,5.1412616,16.564526,-59.537987,128.45726,-58.691204,121.6599,-16.012901,-135.14294
3005000000,5.5843663,-81.942017,-68.475517,-178.8542,-69.640488,-173.89636,-15.610625,-135.03642
3010000000,6.7588892,176.43845,-70.543777,154.71227,-70.557091,154.60759,-15.724813,-137.63141
3015000000,6.718164,99.865479,-63.400589,94.596451,-62.442604,102.25352,-15.877194,-141.89795
3020000000,4.882709,-15.411347,-56.88884,-9.7516661,-56.452068,-17.298553,-15.557971,-142.51018
3025000000,6.3970428,-112.43349,-58.375244,-100.51553,-58.703568,-95.841202,-15.277697,-143.46342
3030000000,6.1167917,155.01617,-58.572742,162.23323,-59.460003,166.91711,-15.27435,-148.12018
3035000000,7.2580705,63.059895,-64.733215,110.04583,-62.877659,113.23425,-15.366746,-152.72993
3040000000,3.4665117,-41.331905,-63.393543,101.22668,-64.230621,99.742241,-15.313497,-156.81461
3045000000,6.9112377,-143.77063,-71.088249,-139.13213,-69.915428,-140.56419,-15.048452,-160.12039
3050000000,7.0680337,134.10838,-56.487076,27.451969,-56.284206,39.247509,-15.099837,-159.6577
3055000000,6.01618,35.282417,-56.193935,-24.532028,-55.106697,-28.344934,-15.479981,-160.31361
3060000000,5.1081834,-68.812309,-56.934284,-113.14951,-57.006214,-113.67248,-15.267514,-165.93137
3065000000,7.0358858,-173.02393,-58.880417,159.37692,-59.224377,157.1581,-14.817895,-169.3259
3070000000,6.9277239,113.07796,-57.438778,122.31001,-56.764091,133.49736,-15.225769,-168.52525
3075000000,5.4321761,3.2011275,-74.523087,-10.397196,-70.990288,-32.49255,-15.858901,-171.40515
3080000000,5.5136442,-97.865845,-63.87215,41.913059,-64.051712,43.595936,-15.855594,-174.83914
3085000000,6.2147713,163.93292,-58.526833,0.46540815,-59.857357,0.33471814,-15.685764,-174.45753
3090000000,7.7693791,82.462914,-55.611912,-63.008633,-53.666862,-56.289814,-15.920963,-174.44568
3095000000,3.7308185,-25.085117,-54.620609,-133.61073,-55.097889,-140.37439,-15.965052,-179.05916
3100000000,6.3113575,-129.90102,-56.90147,142.77657,-56.662388,142.57196,-16.047812,176.93475
3105000000,7.1618814,142.03751,-60.495457,67.301018,-60.593369,77.596283,-16.245646,175.42976
3110000000,6.6966348,51.504478,-69.046417,19.564875,-68.189194,16.866085,-16.450727,174.54361
3115000000,4.0524316,-51.143982,-58.006542,46.54644,-58.773041,44.529011,-16.495897,174.75549
3120000000,7.0843349,-161.58073,-59.051865,-10.56329,-59.058701,-12.647743,-16.579397,174.97797
3125000000,6.8048482,122.04167,-58.41856,-80.030777,-58.721077,-72.711807,-16.523464,173.21098
3130000000,6.4620957,19.3999,-57.082092,-156.88579,-55.59626,-162.84961,-16.800663,170.03824
