!CSV A.01.01
!Keysight Technologies,N5247A,US56070710,A.10.64.09
!Date: Thursday, November 10, 2022 01:43:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
3000000000,6.1013031,24.391983,-48.352383,-57.297733,-47.326122,-64.327515,-16.054949,-137.83665
3005000000,5.4437814,-74.425346,-48.058525,-165.81247,-48.185478,-164.26587,-15.656697,-137.49069
3010000000,6.6508312,177.4727,-47.931393,83.641617,-48.196911,83.917191,-15.766193,-140.24876
3015000000,7.379909,103.55422,-48.523952,-19.683722,-47.693375,-9.8340454,-15.871292,-144.3586
3020000000,5.7708774,-8.7295341,-48.720871,-124.52823,-48.114956,-133.35587,-15.601674,-144.59946
3025000000,6.0745902,-105.33179,-47.170021,127.60818,-47.133984,130.53554,-15.386247,-145.87126
3030000000,6.5748582,157.02821,-47.712132,22.214348,-48.606033,24.131958,-15.319914,-150.69525
3035000000,8.6248379,66.369591,-48.311623,-81.226105,-45.586693,-78.285431,-15.424142,-154.93677
3040000000,3.8467023,-32.036503,-47.527031,179.94028,-48.224895,175.53499,-15.473547,-159.48409
3045000000,6.7748742,-140.54089,-47.936138,69.45443,-47.815575,67.038376,-15.122991,-163.6707
3050000000,7.3789434,132.68729,-49.28133,-42.940121,-48.977398,-32.868073,-15.026724,-162.7766
3055000000,6.952539,41.390511,-49.025845,-140.41504,-47.645119,-144.09006,-15.448909,-162.41594
3060000000,4.997613,-58.799557,-48.766685,110.95129,-48.754562,110.06051,-15.370984,-168.28841
3065000000,6.5940323,-169.61325,-47.923077,5.6856995,-48.127747,5.2008023,-14.855948,-172.2283
3070000000,7.4889464,114.24607,-48.151806,-100.30212,-47.655239,-89.615677,-15.204322,-171.04422
3075000000,6.2867327,6.4831953,-48.232491,161.88289,-47.40733,153.74548,-15.925869,-173.56607
3080000000,4.5754223,-92.09642,-47.660084,56.089561,-47.73727,59.933727,-15.988927,-177.53094
3085000000,6.0326228,164.82301,-48.197044,-49.26289,-49.003891,-50.488712,-15.789757,-177.42899
3090000000,8.5384493,83.871002,-49.3475,-163.44829,-47.229202,-155.86006,-16.031874,-177.72049
3095000000,4.5002327,-15.616085,-48.645947,99.367638,-48.838726,94.323006,-16.00605,177.10411
3100000000,5.8317428,-124.60571,-47.766624,-12.699353,-47.651478,-15.020369,-15.924961,173.56439
3105000000,6.9521618,139.40334,-47.804955,-122.24272,-47.785648,-113.54031,-16.159504,173.06393
3110000000,7.728591,54.909725,-48.21851,141.90829,-46.518883,138.86269,-16.512856,171.82024
3115000000,4.7659531,-41.603683,-47.983673,38.67284,-48.407433,35.913757,-16.487896,171.42085
3120000000,6.4048138,-157.28195,-47.605495,-71.71656,-47.353722,-70.810371,-16.466753,172.40964
3125000000,7.0762672,123.17592,-47.929501,-177.83195,-48.158676,-169.21356,-16.539906,171.29292
3130000000,7.7019205,20.987421,-48.456345,78.70945,-46.820122,71.24482,-16.915707,167.46432
3135000000,4.3105111,-73.511864,-47.463375,-31.092653,-47.7934,-29.270411,-17.408709,163.94379
3140000000,6.0200086,175.84758,-47.432106,-136.43788,-48.048164,-140.06041,-17.70858,162.23817
3145000000,8.8363819,96.257217,-48.441811,116.71847,-46.671288,126.01079,-17.626474,162.18689
3150000000,5.872324,0.48367745,-47.249054,17.233126,-47.116753,10.33776,-17.423183,162.89429
3155000000,5.653091,-103.54677,-47.604321,-85.758537,-47.275116,-86.591812,-17.194536,162.76633
