!CSV A.01.01
!Keysight Technologies,N5247A,US56070710,A.10.64.09
!Date: Saturday, November 19, 2022 21:52:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
3000000000,-15.605612,-143.69208,-56.883801,-70.512093,-57.207169,-70.08313,-16.09729,-119.90113
3005000000,-8.8249378,105.98524,-53.718956,-113.03098,-53.353065,-114.05926,-15.219105,-167.40172
3010000000,-17.329823,87.007027,-55.343269,-153.51666,-55.394653,-153.43787,-18.029192,-155.55418
3015000000,-10.056731,168.31218,-55.010059,93.59079,-55.20821,92.809547,-12.588226,-150.8298
3020000000,-10.447659,66.392944,-54.109455,75.080284,-54.16264,75.817467,-19.912106,159.26135
3025000000,-11.405128,156.19432,-62.010834,28.339388,-61.49934,26.29027,-12.168542,-147.60953
3030000000,-13.334964,92.170067,-60.601917,-73.826134,-61.080421,-73.247993,-17.979446,161.71533
3035000000,-15.532436,53.159058,-67.528908,-147.3528,-66.159576,-142.87892,-14.794652,-150.29466
3040000000,-6.3679247,148.26411,-56.752674,178.35194,-56.781578,179.19272,-13.59535,177.77263
3045000000,-11.385808,43.211639,-58.434612,144.05188,-58.254822,142.29329,-20.934669,-173.8083
3050000000,-15.082908,132.95958,-54.017067,63.566216,-54.149792,64.22142,-11.594493,176.65616
3055000000,-7.45294,107.84701,-51.571121,35.278305,-51.514751,34.827541,-18.87359,177.92683
3060000000,-17.231951,-17.288088,-53.603317,-32.778469,-53.726429,-31.5327,-14.816106,-175.06851
3065000000,-5.3519807,116.86331,-52.417324,-97.084816,-52.080437,-98.087418,-14.185638,167.813
3070000000,-16.994081,29.141323,-56.186161,-133.42328,-55.966831,-131.73135,-19.230265,-162.61786
3075000000,-11.391935,114.54588,-56.163399,-163.59425,-55.934998,-162.87091,-12.522229,160.56496
3080000000,-6.0269275,91.993698,-63.040928,117.59862,-63.205479,119.6785,-19.348063,159.56364
3085000000,-15.890195,-109.97584,-57.897156,88.920113,-57.884151,87.579094,-14.657391,173.40369
3090000000,-4.4473186,90.974213,-54.684696,-14.932585,-54.649105,-14.72053,-14.566071,133.41164
3095000000,-27.559072,44.810455,-56.319752,-66.692734,-56.135712,-69.202148,-14.858042,-159.18217
3100000000,-9.6781197,120.75007,-53.625893,-150.16217,-53.617443,-149.19247,-13.289495,131.61133
3105000000,-6.6764622,62.139408,-54.44598,160.93124,-54.329178,161.70184,-17.071098,-166.64934
3110000000,-11.790263,160.64223,-58.397655,95.173698,-58.635086,95.346024,-13.685693,145.16466
3115000000,-8.0647268,62.390202,-57.06023,71.518295,-57.117867,71.658432,-22.047857,140.15941
3120000000,-12.845074,90.626602,-55.476196,24.104128,-55.592926,24.714703,-14.11799,155.82109
3125000000,-10.598881,127.94312,-55.119186,-35.146797,-55.309315,-35.633854,-19.494457,134.53114
